:START_ID,predicate,:END_ID,:TYPE,evidence_sentence,source_chunk_id,description
chunk:f81a3a244a4fed9cb05e,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:f81a3a244a4fed9cb05e,
chunk:626b6cc2e80a7b27ddce,NEXT,chunk:e289a4f36feac46695a1,NEXT,,chunk:626b6cc2e80a7b27ddce,
chunk:626b6cc2e80a7b27ddce,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:626b6cc2e80a7b27ddce,
chunk:e289a4f36feac46695a1,NEXT,chunk:7b3fc6e7bed27f3f0dcc,NEXT,,chunk:e289a4f36feac46695a1,
chunk:e289a4f36feac46695a1,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:e289a4f36feac46695a1,
chunk:7b3fc6e7bed27f3f0dcc,NEXT,chunk:5761a4bc6dc07b05eb54,NEXT,,chunk:7b3fc6e7bed27f3f0dcc,
chunk:7b3fc6e7bed27f3f0dcc,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:7b3fc6e7bed27f3f0dcc,
chunk:5761a4bc6dc07b05eb54,NEXT,chunk:807b1965b701d795b53a,NEXT,,chunk:5761a4bc6dc07b05eb54,
chunk:5761a4bc6dc07b05eb54,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:5761a4bc6dc07b05eb54,
chunk:807b1965b701d795b53a,NEXT,chunk:c6112bcd863d996d7a70,NEXT,,chunk:807b1965b701d795b53a,
chunk:807b1965b701d795b53a,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:807b1965b701d795b53a,
chunk:c6112bcd863d996d7a70,NEXT,chunk:da3de4f391ad94b68156,NEXT,,chunk:c6112bcd863d996d7a70,
chunk:c6112bcd863d996d7a70,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:c6112bcd863d996d7a70,
chunk:da3de4f391ad94b68156,NEXT,chunk:31f1f4817da02816b682,NEXT,,chunk:da3de4f391ad94b68156,
chunk:da3de4f391ad94b68156,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:da3de4f391ad94b68156,
chunk:31f1f4817da02816b682,NEXT,chunk:eb7996c5bbced768a76d,NEXT,,chunk:31f1f4817da02816b682,
chunk:31f1f4817da02816b682,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:31f1f4817da02816b682,
chunk:eb7996c5bbced768a76d,NEXT,chunk:f625f2b645f7a0fe5fac,NEXT,,chunk:eb7996c5bbced768a76d,
chunk:eb7996c5bbced768a76d,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:eb7996c5bbced768a76d,
chunk:f625f2b645f7a0fe5fac,NEXT,chunk:2bbb32dfe972e7f91753,NEXT,,chunk:f625f2b645f7a0fe5fac,
